Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
54049402,05/01/2022 12:00:03 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,1006 GERARD AVENUE,GERARD AVENUE,EAST  164 STREET,EAST  165 STREET,EAST  164 STREET,EAST  165 STREET,ADDRESS,BRONX,GERARD AVENUE,,In Progress,,,,04 BRONX,2024770001,BRONX,1005536,241916,ONLINE,Unspecified,BRONX,,,,,,,,40.83065331987539,-73.92308231033165,"(40.83065331987539, -73.92308231033165)"
54046813,05/01/2022 12:00:09 AM,05/01/2022 12:07:46 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10027,364 WEST  127 STREET,WEST  127 STREET,ST NICHOLAS TERRACE,CONVENT AVENUE,ST NICHOLAS TERRACE,CONVENT AVENUE,ADDRESS,NEW YORK,WEST  127 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 12:07:53 AM,09 MANHATTAN,1019530055,MANHATTAN,997426,235252,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.81237834836466,-73.95240115039357,"(40.81237834836466, -73.95240115039357)"
54045643,05/01/2022 12:00:17 AM,05/01/2022 12:10:38 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,593 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE,WEST  185 STREET,WEST  187 STREET,WEST  185 STREET,WEST  187 STREET,ADDRESS,NEW YORK,FT WASHINGTON AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 12:10:43 AM,12 MANHATTAN,1021790215,MANHATTAN,1001671,250679,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.854713655427595,-73.93702585036192,"(40.854713655427595, -73.93702585036192)"
54051838,05/01/2022 12:00:21 AM,05/01/2022 12:53:23 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11214,8106 17 AVENUE,17 AVENUE,81 STREET,82 STREET,81 STREET,82 STREET,ADDRESS,BROOKLYN,17 AVENUE,,Closed,,The Police Department issued a summons in response to the complaint.,05/01/2022 12:53:29 AM,11 BROOKLYN,3062950034,BROOKLYN,983687,162001,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.611331690801165,-74.00202773560115,"(40.611331690801165, -74.00202773560115)"
54052808,05/01/2022 12:00:25 AM,05/01/2022 01:01:47 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10304,935 TARGEE STREET,TARGEE STREET,BALTIC AVENUE,RALPH PLACE,BALTIC AVENUE,RALPH PLACE,ADDRESS,STATEN ISLAND,TARGEE STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 01:01:51 AM,02 STATEN ISLAND,5031690029,STATEN ISLAND,958984,159931,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.605613964168455,-74.09099181031843,"(40.605613964168455, -74.09099181031843)"
54046765,05/01/2022 12:00:27 AM,05/01/2022 12:48:50 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,377 EDGECOMBE AVENUE,EDGECOMBE AVENUE,WEST  150 STREET,WEST  155 STREET,WEST  150 STREET,WEST  155 STREET,ADDRESS,NEW YORK,EDGECOMBE AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/01/2022 12:48:54 AM,09 MANHATTAN,1020540022,MANHATTAN,1000713,241035,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.82824553459575,-73.94051254172763,"(40.82824553459575, -73.94051254172763)"
54048291,05/01/2022 12:00:32 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,1765 DAVIDSON AVENUE,DAVIDSON AVENUE,WEST  176 STREET,WEST  177 STREET,WEST  176 STREET,WEST  177 STREET,ADDRESS,BRONX,DAVIDSON AVENUE,,In Progress,,,,05 BRONX,2028670155,BRONX,1008378,248500,ONLINE,Unspecified,BRONX,,,,,,,,40.848717168218855,-73.91278896581804,"(40.848717168218855, -73.91278896581804)"
54052737,05/01/2022 12:00:39 AM,05/01/2022 01:20:26 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11205,99 NORTH PORTLAND AVENUE,NORTH PORTLAND AVENUE,PARK AVENUE,AUBURN PLACE,PARK AVENUE,AUBURN PLACE,ADDRESS,BROOKLYN,NORTH PORTLAND AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,05/01/2022 01:20:30 AM,02 BROOKLYN,3020410001,BROOKLYN,990897,192214,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69425730450931,-73.97602997793548,"(40.69425730450931, -73.97602997793548)"
54049537,05/01/2022 12:00:46 AM,,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Left in Front of Other Residence,Sidewalk,11385,659 SENECA AVENUE,SENECA AVENUE,LINDEN STREET,GATES AVENUE,LINDEN STREET,GATES AVENUE,ADDRESS,RIDGEWOOD,SENECA AVENUE,,In Progress,,,,05 QUEENS,4034540006,QUEENS,1009518,195600,ONLINE,Unspecified,QUEENS,,,,,,,,40.703517503846165,-73.90886734581896,"(40.703517503846165, -73.90886734581896)"
54049967,05/01/2022 12:00:51 AM,05/01/2022 12:41:54 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,15 WASHINGTON PLACE,WASHINGTON PLACE,MERCER STREET,GREENE STREET,MERCER STREET,GREENE STREET,ADDRESS,NEW YORK,WASHINGTON PLACE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/01/2022 12:41:58 AM,02 MANHATTAN,1005470020,MANHATTAN,985646,205096,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.729617714911406,-73.99496315532276,"(40.729617714911406, -73.99496315532276)"
